system:index,KLC_ID,PA,Year,bare-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
61,SAF_20,false,2016.0,8696.327030382481,8062.380747332676,40351.33967648205,2.3809262358571526,14201.394104037694,0.0,4178.378178233289,1151.2838057746967,309.0009817786066,180.8405458843477,
62,SAF_20,false,2017.0,9861.476274556406,8137.032420829885,38778.48049092014,5.122030681914646,14771.38436712579,0.0,3959.4237219244496,1154.1498269308197,290.02517211910526,161.89974959781455,
63,SAF_20,false,2018.0,10810.717110107209,7998.2499078499895,38128.389859478346,4.649765754898802,14858.643716750576,0.0,3723.586710557492,1159.1656058723504,269.5600306055112,212.49863688583798,
64,SAF_20,false,2019.0,11406.438761676718,7939.2361441001385,37019.24399990173,3.953133186995675,15427.271668665144,0.0,3692.2781271579543,1164.264700493181,298.1379478770896,175.66784894312235,
65,SAF_20,true,2015.0,5104.014500524754,2227.306664383265,27514.211355548592,1.350461025245878,8718.535200015765,0.0,3116.133793367525,365.5046923744133,233.9672994544949,132.43127770667925,
66,SAF_20,true,2016.0,5986.328784244629,2339.1891158727553,26253.582723818836,1.5839149812407627,9216.852006500276,0.0,2900.3877301366624,365.7160756975018,216.11440145582264,94.59983665266425,
67,SAF_20,true,2017.0,6777.711544664133,2348.266653143246,25205.70882686849,3.1130984381057822,9592.852518521317,0.0,2788.185948174641,367.00545809752157,199.2490242283755,90.055090709599,
68,SAF_20,true,2018.0,7586.823091539998,2226.7270087816482,24544.028241653974,3.1422231664283338,9727.607244385785,0.0,2635.87277070032,369.42797969288426,185.88028847313663,119.57858472628149,
69,SAF_20,true,2019.0,8039.375677549988,2193.804146149144,23786.236850609006,2.718373383885288,10075.03974891113,0.0,2599.6670004459747,372.73150997414774,208.50585346864477,97.21161540993542,
70,SAF_09_10_14_15,false,2015.0,201.65835233855492,3961.450853297489,20176.49699121423,0.0,16156.869824372887,0.0,21872.44909769659,113.33094775498954,0.6302188226414157,124.69692599694233,
71,SAF_09_10_14_15,false,2016.0,158.2128520856688,3715.42977076816,19636.741360200005,0.0,15911.263459535316,0.0,22947.099204124006,113.2945899827203,0.845048801478697,143.91942508925058,
72,SAF_09_10_14_15,false,2017.0,144.5860486986473,4087.2267727253175,18987.274674443644,0.0,15311.731281657316,0.0,23836.34890537657,114.59203024605651,1.1265723498266216,149.28172043403765,
73,SAF_09_10_14_15,false,2018.0,133.64121813131237,3731.769964933378,18116.246102422636,0.0,15255.09582388202,0.0,25124.469261133538,120.17473417569107,1.4891808187814461,153.98332584239853,
74,SAF_09_10_14_15,false,2019.0,110.85294916746302,6372.271932385235,17632.055240279944,0.0,13536.08576339591,0.0,24710.362262293256,119.71348998296965,1.5446479925769667,150.52611297448135,
75,SAF_09_10_14_15,true,2015.0,179.47671153050447,3315.4325564603496,18558.174086467327,0.0,14709.552471950814,0.0,19604.602999777522,73.94531895911828,0.4676427948027255,114.03293312808226,
76,SAF_09_10_14_15,true,2016.0,136.6956197127503,3050.90579992217,18053.98104037046,0.0,14520.169120872713,0.0,20605.178411412497,74.05177120728148,0.6700244426021955,132.8559421310497,
77,SAF_09_10_14_15,true,2017.0,124.60220032156039,3365.77780211812,17415.910649304875,0.0,14038.244937302881,0.0,21421.66307794923,74.54388351915391,0.9092374246205688,137.46774733072772,
78,SAF_09_10_14_15,true,2018.0,112.59201983799238,3019.2511810998435,16605.955878606328,0.0,14017.850201732053,0.0,22605.38419237499,79.3293821296035,1.2889321596203627,141.8059570024831,
79,SAF_09_10_14_15,true,2019.0,92.25644198624298,5499.324238301796,16125.13119882437,0.0,12404.979087535588,0.0,22238.968295855186,79.6701106982288,1.3224147390158203,138.42255941816904,
80,EAF_13,false,2015.0,15.523913915427698,636.4750267239453,858.9427974124286,0.0,453.98893789737156,0.0,1447.4113804303286,22.860691424583116,1.1458164338706696,0.39342485300833635,
81,EAF_13,false,2016.0,18.336635347887746,621.0053923459786,802.4956956805195,0.004956623160978779,455.5235602028729,0.0,1514.3403531369722,23.49997245774562,1.15191168913095,0.7486740332622396,
82,EAF_13,false,2017.0,15.91558945630982,594.8183699882563,737.6667660677057,0.0019826492643915117,450.44367866474255,0.0,1611.8114730597968,24.59189602263888,1.1087215755522872,0.38177617460177693,
83,EAF_13,false,2018.0,17.11441287048078,579.0779728040072,720.9626951150676,0.0024783115804893896,433.6991176260294,0.0,1657.3813124584867,26.900856953507166,1.219631345107365,0.7326693116726615,
84,EAF_13,false,2019.0,14.232679304326677,583.4321866837398,722.1843610925339,0.0024783115804893896,410.1501249955414,0.0,1677.8567811802293,27.340208844577816,1.1596570717415078,0.7114669034904664,
85,EAF_13,true,2015.0,0.22583645770529417,88.32580066647759,224.9778563194831,0.0,136.46868044766615,0.0,1037.7391146966215,1.4529488743831547,0.7988678390465793,0.37244862018303726,
86,EAF_13,true,2016.0,0.2281646586852445,82.5493389862268,185.72002720178267,0.004956623160978779,137.30826842982594,0.0,1081.9005406926244,1.474289671330931,0.8134322840705863,0.6433558424829172,
87,EAF_13,true,2017.0,0.156258401447849,73.63417630376098,140.91425255592327,0.0019826492643915117,130.19412345365012,0.0,1142.713168219228,1.61759703097946,0.7674599334495724,0.3539087853350793,
88,EAF_13,true,2018.0,0.197113181761975,71.72664334379604,125.29746117282215,0.0024783115804893896,128.67694836777045,0.0,1161.3454166509782,1.882115543519908,0.8708419754750246,0.6153822616303075,
89,EAF_13,true,2019.0,0.1606492918025526,87.52033610246919,121.12612543846531,0.0024783115804893896,117.60147363615613,0.0,1160.9167524109814,1.850099141432307,0.8211042148161248,0.613030374452772,
90,SAF_17,false,2015.0,87.37150668334918,48.76839293873111,36362.43707775583,0.0,21099.731392663984,0.0,2281.023838228018,1.628327130897749,0.052668853881186806,0.0659004244953394,
91,SAF_17,false,2016.0,168.4753091482602,87.69251997786392,35854.361391451086,0.0,21292.18963334991,0.0,2476.6223275523034,1.6294471850826155,0.04257559017423773,0.08892719462164678,
92,SAF_17,false,2017.0,736.3092544364249,192.21754503604814,34980.02496319762,0.0,21283.943696576673,0.0,2686.8999593590897,1.59717706842328,0.020608580372936558,0.24213076016894775,
93,SAF_17,false,2018.0,336.8202152144021,222.67932464312196,33699.077026893036,0.0,22715.481586847123,0.0,2905.316333949517,1.6216701184607434,0.017046589011442848,0.09432234703854192,
94,SAF_17,false,2019.0,834.9547738564765,199.7528822613538,33038.00474183332,0.0,22685.57628149569,0.0,3121.088269740228,1.62175273773798,0.014502329853712581,0.0864782872813521,
95,SAF_17,true,2015.0,84.29583595252257,44.43272237240835,33557.83902476925,0.0,19037.21661843847,0.0,2036.8225413292053,0.7269099816208586,0.052668853881186806,0.0659004244953394,
96,SAF_17,true,2016.0,159.8350186838972,79.46372402466534,33092.04448566573,0.0,19210.837077777145,0.0,2218.435508542903,0.7279314128127617,0.04257559017423773,0.08892719462164678,
97,SAF_17,true,2017.0,681.7889215482488,174.53829322781309,32264.05418455898,0.0,19231.14721066541,0.0,2409.1094471141864,0.7276560023321437,0.020608580372936558,0.24059021809807746,
98,SAF_17,true,2018.0,318.83971401782196,204.83747245745542,31090.46977551964,0.0,20547.062263978692,0.0,2599.4108491149304,0.7492000198324996,0.017046589011442848,0.09432234703854192,
99,SAF_17,true,2019.0,785.3823850143363,181.30389747003423,30443.123124590864,0.0,20540.314530782707,0.0,2810.4985988704857,0.7492826391097361,0.014502329853712581,0.0864782872813521,
100,WAF_21,false,2015.0,1.2484344454332115,9.089087059177764,153.67537107188625,0.0,153.4873428930951,0.0,937.1204686569913,10.73295939181288,0.0298868035824853,0.2435353617200984,
101,WAF_21,false,2016.0,1.6307153234509102,10.650050944016218,162.62038101592154,0.0,159.87047820794535,0.0,919.8090956980054,10.762394435695056,0.04043469694443047,0.17694023312009555,
102,WAF_21,false,2017.0,1.5749672433314903,15.223075719438045,158.86778544590658,0.0,151.28557282490473,0.0,927.7735034165506,10.620847324187604,0.03779834765737178,0.16935166273118846,
103,WAF_21,false,2018.0,1.2292279368533534,13.252458491833258,145.23142076501347,0.0,135.70818077799336,0.0,959.8086916423805,10.117531399345756,0.03603930855751969,0.15882936236731066,
