area_km2,klc_id,klc_name,year,pa,area_loss
3021.3708964548196,SAF_08,Chimanimani,2017,outside,2.1931235632669654
3021.3708964548196,SAF_08,Chimanimani,2018,total,19.441707266716648
3021.3708964548196,SAF_08,Chimanimani,2018,inside,19.031749259659552
3021.3708964548196,SAF_08,Chimanimani,2018,outside,0.40995800705709584
3021.3708964548196,SAF_08,Chimanimani,2019,total,48.68901981720731
3021.3708964548196,SAF_08,Chimanimani,2019,inside,47.4504246220463
3021.3708964548196,SAF_08,Chimanimani,2019,outside,1.238595195161011
3021.3708964548196,SAF_08,Chimanimani,2020,total,25.196899073062824
3021.3708964548196,SAF_08,Chimanimani,2020,inside,24.32816669707213
3021.3708964548196,SAF_08,Chimanimani,2020,outside,0.8687323759906924
14744.70602415394,SAF_05,Maloti-Drakensberg,2001,total,3.006401263104612
14744.70602415394,SAF_05,Maloti-Drakensberg,2001,inside,0.6651972482812019
14744.70602415394,SAF_05,Maloti-Drakensberg,2001,outside,2.3412040148234103
14744.70602415394,SAF_05,Maloti-Drakensberg,2002,total,0.4756823385524374
14744.70602415394,SAF_05,Maloti-Drakensberg,2002,inside,0.05204376244183709
14744.70602415394,SAF_05,Maloti-Drakensberg,2002,outside,0.4236385761106003
14744.70602415394,SAF_05,Maloti-Drakensberg,2003,total,5.435510608729713
14744.70602415394,SAF_05,Maloti-Drakensberg,2003,inside,0.14506630087124692
14744.70602415394,SAF_05,Maloti-Drakensberg,2003,outside,5.290444307858466
14744.70602415394,SAF_05,Maloti-Drakensberg,2004,total,3.915191989937567
14744.70602415394,SAF_05,Maloti-Drakensberg,2004,inside,0.04104379814333448
14744.70602415394,SAF_05,Maloti-Drakensberg,2004,outside,3.8741481917942324
14744.70602415394,SAF_05,Maloti-Drakensberg,2005,total,9.630854146747467
14744.70602415394,SAF_05,Maloti-Drakensberg,2005,inside,0.11002509224279064
14744.70602415394,SAF_05,Maloti-Drakensberg,2005,outside,9.520829054504675
14744.70602415394,SAF_05,Maloti-Drakensberg,2006,total,8.378657464383009
14744.70602415394,SAF_05,Maloti-Drakensberg,2006,inside,0.3053209846813724
14744.70602415394,SAF_05,Maloti-Drakensberg,2006,outside,8.073336479701636
14744.70602415394,SAF_05,Maloti-Drakensberg,2007,total,2.971791536929856
14744.70602415394,SAF_05,Maloti-Drakensberg,2007,inside,0.004701694580078125
14744.70602415394,SAF_05,Maloti-Drakensberg,2007,outside,2.967089842349778
14744.70602415394,SAF_05,Maloti-Drakensberg,2008,total,17.1161622966151
14744.70602415394,SAF_05,Maloti-Drakensberg,2008,inside,1.5277539066097507
14744.70602415394,SAF_05,Maloti-Drakensberg,2008,outside,15.58840839000535
14744.70602415394,SAF_05,Maloti-Drakensberg,2009,total,7.372424445876424
14744.70602415394,SAF_05,Maloti-Drakensberg,2009,inside,0.5447597700743436
14744.70602415394,SAF_05,Maloti-Drakensberg,2009,outside,6.8276646758020805
14744.70602415394,SAF_05,Maloti-Drakensberg,2010,total,2.6249699731474063
14744.70602415394,SAF_05,Maloti-Drakensberg,2010,inside,0.09743967139653224
14744.70602415394,SAF_05,Maloti-Drakensberg,2010,outside,2.527530301750874
14744.70602415394,SAF_05,Maloti-Drakensberg,2011,total,10.784775636465785
14744.70602415394,SAF_05,Maloti-Drakensberg,2011,inside,0.38795979725820506
14744.70602415394,SAF_05,Maloti-Drakensberg,2011,outside,10.39681583920758
14744.70602415394,SAF_05,Maloti-Drakensberg,2012,total,3.4290294744841914
14744.70602415394,SAF_05,Maloti-Drakensberg,2012,inside,0.0995148629013959
14744.70602415394,SAF_05,Maloti-Drakensberg,2012,outside,3.3295146115827956
14744.70602415394,SAF_05,Maloti-Drakensberg,2013,total,1.8256260985107384
14744.70602415394,SAF_05,Maloti-Drakensberg,2013,inside,0.1306548012642656
14744.70602415394,SAF_05,Maloti-Drakensberg,2013,outside,1.6949712972464728
